Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Comparison|||For the nine months, Norton had net of $81.2 million, or $3.87 a share, and a tax credit of $4.4 million|||In the year-earlier period, the company had net of $77.2 million, or $3.68 a share, and a tax credit of $7.7 million
Comparison|||that producing a charter acceptable to both Britain and European industry isn't an unattainable goal|||The charter would just have to be restricted to a list of workers' fundamental rights
Comparison|||A genuine market for labor and wages would replace the present rigid, centralized system|||Departing from decades of Soviet dogma, the new system would lead to big differences in pay between workers and almost certainly to unemployment
Comparison|||After one of the most amazing debates we've ever seen on the cable channel C-SPAN, the House voted 250 to 170 on Wednesday to order $28.4 million in spending for a New Jersey arts center, a Michigan library and 38 other pet projects out of the same discretionary fund that was supposed to have been so abused during Sam Pierce's tenure|||HUD has no paper work whatsoever on 30 of the projects, none of the others has been approved and not a single congressional hearing has been held on any of them
Comparison|||a recession|||how deep is it going to be
Comparison|||London-based LIT Holdings, the largest financer of traders in the Chicago options and futures markets, said yesterday it will incur a second-half loss as a result of the market plunge|||The company didn't specify the size
Comparison|||People in the stock market were very much Thatcher's children -- very young and wealthy optimists|||Now it's dawning on them that they can be non-wealthy
Comparison|||The industry has shed about 2,500 jobs over the past two years|||I can see cuts of at least 20% more
Comparison|||but uncertainties are beginning to mount even there|||Intra-European takeovers are expected to continue at their brisk pace
Comparison|||The percentage of your day spent twiddling your thumbs got greater, and the work day kept getting longer|||What am I doing in Jackson Hole?
Comparison|||AT&T gave a 5% to 10% discount to the Memphis, Tenn., company that oversees Holiday Inns, in response to a similar discount offered to Holiday Corp. by MCI Communications Corp|||that because MCI's offer had expired AT&T couldn't continue to offer its discount plan
Comparison|||BEING A TRAVEL agent used to be pretty glamorous|||Now it's getting downright dangerous
Comparison|||At El Monte Travel Center in El Monte, Calif., customers now can get in only through a buzzer and lock system|||It's hard to deal with clients this way in a service business
Comparison|||Before the law went into effect last month, car rental companies were charging as much as $12 a day for the waiver in Texas|||Now, they're charging as little $3 a day
Comparison|||it is considering changing its policy -- or lack of it -- on flight attendants|||The agency may not have much choice: A congressional bill has been introduced that would force the agency to limit flight attendant duty time to 14 hours on U.S. flights and 16 hours on international trips
Comparison|||The average cost for breakfast at a "decent" hotel restaurant in New York is $17.12, according to Corporate Travel magazine|||The cheapest, among 100 cities surveyed, was $5.11 in El Paso, Texas
Comparison|||it owns a 49% stake in the new company|||it didn't invest any additional capital in the venture
Comparison|||Daily trading volume in the New York foreign exchange market is $130 billion|||The daily volume for Treasury Securities is about $110 billion
Comparison|||The $13 billion the Fed injected into the money markets after the 1987 crash is more than enough to buy all the stocks traded on a typical day|||More carefully targeted intervention might actually reduce the need for government action
Comparison|||We were unprepared for the deterioration in net exports|||it will continue
Comparison|||That suggests there is a little more inventory overhang than some people expected|||it's anything that's going to cause a downturn in economic activity
Comparison|||In the comparable year-ago quarter, the second quarter ended Oct. 31, Service Corp. had a loss of about $12.5 million, or 26 cents a share, on revenue of $175.4 million|||Results for that quarter included a $30 million, or 40 cents a share, write-down associated with the consolidation of a facility
Comparison|||Companies that only recently were thriving find themselves scrambling to survive|||As their varied strategies suggest, there is more than one way to respond to a disaster
Comparison|||For many companies, the instinctive first response is to cut costs|||Others are trying to find specialty defense work spared by the slowdown or new niches created by budget-cutting
